name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;413;0;276;3059;975;3059;1297;0
header;202;151;202;194;1832;194;1832;151
A;1009;220;1009;247;1030;247;1030;220
C;663;274;663;293;677;293;677;274
B;1183;728;1183;743;1191;743;1191;728
B;1019;893;1019;925;1037;925;1037;893
D;615;949;615;976;648;976;648;949
D;359;1087;359;1113;392;1113;392;1087
B;764;1142;764;1159;773;1159;773;1142
B;411;1415;411;1434;426;1434;426;1415
C;1016;1571;1016;1599;1037;1599;1037;1571
A;997;1695;997;1700;1003;1700;1003;1695
B;619;1962;619;1978;627;1978;627;1962
D;1020;2235;1020;2262;1040;2262;1040;2235
A;310;2471;310;2483;317;2483;317;2471
A;985;2513;985;2528;995;2528;995;2513
