name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;992;0;808;3067;1484;3067;1392;0
header;175;161;175;203;1807;203;1807;161
A;979;225;979;252;999;252;999;225
C;1301;643;1301;663;1317;663;1317;643
B;1379;782;1379;801;1394;801;1394;782
A;1183;819;1183;845;1204;845;1204;819
B;981;891;981;918;1001;918;1001;891
A;1424;1084;1424;1084;1424;1084;1424;1084
C;977;1516;977;1546;998;1546;998;1516
D;979;2186;979;2213;1000;2213;1000;2186
B;1365;2189;1365;2204;1386;2204;1386;2189
B;1272;2334;1272;2353;1286;2353;1286;2334
